City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,malabo,3.75,8.7833,76.86,94,20,3.44,GQ,1737866286
84,pisco,-13.7,-76.2167,69.85,88,20,4.61,PE,1737866287
85,isafjordur,66.0755,-23.124,29.97,94,100,6.17,IS,1737866289
86,carnarvon,-24.8667,113.6333,83.01,61,63,18.81,AU,1737866290
87,palmer,42.1584,-72.3287,23.52,55,0,5.75,US,1737866292
88,port lincoln,-34.7333,135.8667,76.37,58,100,8.99,AU,1737866294
89,ericeira,38.9627,-9.4156,59.34,84,100,21.7,PT,1737866295
90,tiksi,71.6872,128.8694,-18.02,89,100,45.99,RU,1737866296
91,grytviken,-54.2811,-36.5092,44.22,92,100,15.17,GS,1737866298
92,portoferraio,42.8115,10.3146,58.51,84,50,26.93,IT,1737866299
93,badger,64.8,-147.5333,36.99,94,100,3.44,US,1737866300
94,mudbidri,13.0833,74.9833,80.22,47,41,6.91,IN,1737866301
95,qaqortoq,60.7167,-46.0333,-0.29,76,23,6.82,GL,1737866302
96,tidjikja,18.5564,-11.4271,64.83,13,0,13.8,MR,1737866304
97,talnakh,69.4865,88.3972,-25.87,94,15,4.74,RU,1737866305
98,wailua homesteads,22.0669,-159.378,74.19,87,40,10.36,US,1737866306
99,jumla,29.2747,82.1838,55.02,9,0,5.03,NP,1737866307
100,sungai penuh,-2.0833,101.3833,77.31,58,97,5.57,ID,1737866308
101,santa marta,11.2408,-74.199,84.25,64,2,25.01,CO,1737866309
102,tabalah,19.95,42.4,56.44,65,0,4.36,SA,1737866310
103,hamilton,39.1834,-84.5333,36.77,69,83,3.0,US,1737866312
104,alegrete,-29.7831,-55.7919,78.1,62,18,16.2,BR,1737866313
105,guiyang,26.5833,106.7167,37.89,75,100,11.18,CN,1737866314
106,byron bay,-28.65,153.6167,78.53,66,25,10.51,AU,1737866315
107,chernyshevskiy,63.0128,112.4714,-17.54,96,93,7.34,RU,1737866316
108,banda aceh,5.5577,95.3222,83.08,73,70,1.5,ID,1737866318
109,utrik,11.2278,169.8474,79.41,81,32,17.2,MH,1737866319
110,vorgashor,67.5833,63.95,-5.49,91,99,6.96,RU,1737866320
111,chonchi,-42.6128,-73.8092,51.03,97,30,1.92,CL,1737866321
112,moyynkum,44.2914,72.9469,21.16,60,100,15.68,KZ,1737866322
113,kristiansund,63.1115,7.732,42.13,75,75,17.27,NO,1737866323
114,dudinka,69.4058,86.1778,-33.41,100,13,1.97,RU,1737866324
115,at taj,24.2049,23.2857,51.82,52,0,7.49,LY,1737866326
116,taoudenni,22.6783,-3.9836,69.28,11,100,9.06,ML,1737866327
117,philadelphia,39.9523,-75.1638,32.27,67,100,5.75,US,1737866328
118,chandler,33.3062,-111.8412,55.83,18,0,5.75,US,1737866263
119,cambria,35.5641,-121.0808,53.06,75,46,5.99,US,1737866330
120,colonia rincon viejo,16.9,-95.05,66.27,85,80,11.43,MX,1737866331
121,edinburgh of the seven seas,-37.0676,-12.3116,58.15,64,62,5.86,SH,1737866332
122,labrador city,52.9463,-66.9114,0.18,70,75,11.01,CA,1737866333
123,mata-utu,-13.2816,-176.1745,83.55,73,100,12.21,WF,1737866335
124,hammerfest,70.6634,23.6821,27.05,74,40,13.8,NO,1737866337
125,pratt,37.6439,-98.7376,30.42,74,0,3.44,US,1737866338
126,lebu,-37.6167,-73.65,57.38,90,0,15.68,CL,1737866339
127,petropavlovsk-kamchatsky,53.0452,158.6483,27.19,43,0,4.47,RU,1737866340
128,kuching,1.55,110.3333,82.35,94,40,3.44,MY,1737866341
